nfeatures,n_octave_layers,ratio_threshold,min_match_count,min_inliers,min_bbox_area,accuracy,tpr,fpr,tp,fp,fn,runtime
4000,3,0.7,20,6,25,0.6288659793814433,0.7093023255813954,0.1527777777777778,61,11,25,8.50717278799857
1000,3,0.6,35,10,100,0.625,0.6976744186046512,0.14285714285714285,60,10,26,6.210846260997641
1000,3,0.6,35,20,100,0.625,0.6976744186046512,0.14285714285714285,60,10,26,6.175296212000831
1000,3,0.65,20,20,100,0.625,0.6976744186046512,0.14285714285714285,60,10,26,7.357793468996533
1000,3,0.65,35,6,25,0.625,0.6976744186046512,0.14285714285714285,60,10,26,7.389307056997495
1000,3,0.7,20,10,25,0.625,0.6976744186046512,0.14285714285714285,60,10,26,8.876128898002207
1000,3,0.7,20,20,25,0.625,0.6976744186046512,0.14285714285714285,60,10,26,8.593427578001865
2000,3,0.6,35,6,25,0.625,0.6976744186046512,0.14285714285714285,60,10,26,6.628456487000221
2000,3,0.6,35,20,25,0.625,0.6976744186046512,0.14285714285714285,60,10,26,6.53040969799622
2000,3,0.65,10,20,25,0.625,0.6976744186046512,0.14285714285714285,60,10,26,8.187902370998927
2000,3,0.65,10,20,100,0.625,0.6976744186046512,0.14285714285714285,60,10,26,8.3785690529985
2000,3,0.65,20,10,100,0.625,0.6976744186046512,0.14285714285714285,60,10,26,8.350993184998515
2000,3,0.65,20,20,100,0.625,0.6976744186046512,0.14285714285714285,60,10,26,8.043569280001975
2000,3,0.65,35,6,25,0.625,0.6976744186046512,0.14285714285714285,60,10,26,7.92831628699787
2000,3,0.65,35,6,100,0.625,0.6976744186046512,0.14285714285714285,60,10,26,6.568778378001298
2000,3,0.7,10,20,100,0.625,0.6976744186046512,0.14285714285714285,60,10,26,9.624818372998561
2000,3,0.7,20,20,100,0.625,0.6976744186046512,0.14285714285714285,60,10,26,9.353771096000855
4000,3,0.6,35,10,25,0.625,0.6976744186046512,0.14285714285714285,60,10,26,6.1575742380009615
4000,3,0.6,35,10,100,0.625,0.6976744186046512,0.14285714285714285,60,10,26,6.181817625001713
4000,3,0.6,35,20,25,0.625,0.6976744186046512,0.14285714285714285,60,10,26,6.1621026799984975
4000,3,0.65,10,20,100,0.625,0.6976744186046512,0.14285714285714285,60,10,26,7.4667870920020505
4000,3,0.65,20,10,25,0.625,0.6976744186046512,0.14285714285714285,60,10,26,7.235672218994296
4000,3,0.65,20,10,100,0.625,0.6976744186046512,0.14285714285714285,60,10,26,7.111882142002287
4000,3,0.65,20,20,100,0.625,0.6976744186046512,0.14285714285714285,60,10,26,7.157809997006552
4000,3,0.75,35,20,100,0.625,0.6976744186046512,0.14285714285714285,60,10,26,12.000670631998219
1000,3,0.65,10,6,25,0.6224489795918368,0.7093023255813954,0.1643835616438356,61,12,25,7.5997157099991455
2000,3,0.6,10,6,25,0.6224489795918368,0.7093023255813954,0.1643835616438356,61,12,25,7.823427105002338
2000,3,0.6,20,10,100,0.6224489795918368,0.7093023255813954,0.1643835616438356,61,12,25,7.086702870998124
2000,3,0.7,20,6,100,0.6224489795918368,0.7093023255813954,0.1643835616438356,61,12,25,8.708378438001091
4000,3,0.7,20,6,100,0.6224489795918368,0.7093023255813954,0.1643835616438356,61,12,25,8.173620770998241
1000,3,0.65,35,6,100,0.6210526315789474,0.686046511627907,0.1323529411764706,59,9,27,7.049408979997679
1000,3,0.65,35,10,100,0.6210526315789474,0.686046511627907,0.1323529411764706,59,9,27,8.445805266004754
1000,3,0.65,35,20,100,0.6210526315789474,0.686046511627907,0.1323529411764706,59,9,27,8.978432752002846
1000,3,0.7,35,20,100,0.6210526315789474,0.686046511627907,0.1323529411764706,59,9,27,7.444389406002301
1000,3,0.75,20,20,100,0.6210526315789474,0.686046511627907,0.1323529411764706,59,9,27,11.62634263599466
2000,3,0.65,35,10,25,0.6210526315789474,0.686046511627907,0.1323529411764706,59,9,27,6.584044190996792
2000,3,0.65,35,10,100,0.6210526315789474,0.686046511627907,0.1323529411764706,59,9,27,6.403885446998174
2000,3,0.65,35,20,25,0.6210526315789474,0.686046511627907,0.1323529411764706,59,9,27,6.420773136997013
2000,3,0.7,35,10,25,0.6210526315789474,0.686046511627907,0.1323529411764706,59,9,27,7.741125876993465
2000,3,0.7,35,10,100,0.6210526315789474,0.686046511627907,0.1323529411764706,59,9,27,8.279265723002027
4000,3,0.65,35,20,25,0.6210526315789474,0.686046511627907,0.1323529411764706,59,9,27,6.329559083002096
4000,3,0.65,35,20,100,0.6210526315789474,0.686046511627907,0.1323529411764706,59,9,27,6.378998555999715
4000,3,0.7,10,20,25,0.6210526315789474,0.686046511627907,0.1323529411764706,59,9,27,8.329508770999382
1000,3,0.65,10,10,100,0.6185567010309279,0.6976744186046512,0.15492957746478872,60,11,26,7.534889512004156
1000,3,0.65,10,20,25,0.6185567010309279,0.6976744186046512,0.15492957746478872,60,11,26,7.5033682889988995
1000,3,0.7,10,10,25,0.6185567010309279,0.6976744186046512,0.15492957746478872,60,11,26,10.237930277995474
1000,3,0.7,10,20,25,0.6185567010309279,0.6976744186046512,0.15492957746478872,60,11,26,11.210072916001081
1000,3,0.7,20,20,100,0.6185567010309279,0.6976744186046512,0.15492957746478872,60,11,26,8.802141931999358
2000,3,0.65,20,6,25,0.6185567010309279,0.6976744186046512,0.15492957746478872,60,11,26,9.130818748999445
2000,3,0.65,20,6,100,0.6185567010309279,0.6976744186046512,0.15492957746478872,60,11,26,8.404090324998833
2000,3,0.65,20,20,25,0.6185567010309279,0.6976744186046512,0.15492957746478872,60,11,26,8.194333674000518
2000,3,0.7,10,6,25,0.6185567010309279,0.6976744186046512,0.15492957746478872,60,11,26,9.378122966001683
2000,3,0.7,35,6,100,0.6185567010309279,0.6976744186046512,0.15492957746478872,60,11,26,8.177091039004154
2000,3,0.75,10,20,100,0.6185567010309279,0.6976744186046512,0.15492957746478872,60,11,26,11.634454658000323
4000,3,0.65,10,10,100,0.6185567010309279,0.6976744186046512,0.15492957746478872,60,11,26,7.549393489003705
4000,3,0.65,20,6,25,0.6185567010309279,0.6976744186046512,0.15492957746478872,60,11,26,7.299897901000804
4000,3,0.65,20,6,100,0.6185567010309279,0.6976744186046512,0.15492957746478872,60,11,26,7.330770327003847
4000,3,0.7,10,6,100,0.6185567010309279,0.6976744186046512,0.15492957746478872,60,11,26,8.599033329999656
4000,3,0.7,20,10,100,0.6185567010309279,0.6976744186046512,0.15492957746478872,60,11,26,8.229120183001214
4000,3,0.75,20,20,100,0.6185567010309279,0.6976744186046512,0.15492957746478872,60,11,26,10.141949837001448
4000,3,0.75,35,10,25,0.6185567010309279,0.6976744186046512,0.15492957746478872,60,11,26,12.0252381639948
1000,3,0.65,10,20,100,0.6145833333333334,0.686046511627907,0.14492753623188406,59,10,27,7.525479529998847
1000,3,0.65,20,20,25,0.6145833333333334,0.686046511627907,0.14492753623188406,59,10,27,7.298398910999822
1000,3,0.75,20,20,25,0.6145833333333334,0.686046511627907,0.14492753623188406,59,10,27,12.251423721005267
1000,3,0.75,35,20,100,0.6145833333333334,0.686046511627907,0.14492753623188406,59,10,27,9.240210363997903
2000,3,0.6,35,10,25,0.6145833333333334,0.686046511627907,0.14492753623188406,59,10,27,6.440560908995394
2000,3,0.7,35,20,25,0.6145833333333334,0.686046511627907,0.14492753623188406,59,10,27,7.774696714004676
2000,3,0.75,35,6,25,0.6145833333333334,0.686046511627907,0.14492753623188406,59,10,27,9.676224192997324
2000,3,0.75,35,20,100,0.6145833333333334,0.686046511627907,0.14492753623188406,59,10,27,9.614483997997013
4000,3,0.65,10,20,25,0.6145833333333334,0.686046511627907,0.14492753623188406,59,10,27,7.635682480999094
4000,3,0.65,35,6,100,0.6145833333333334,0.686046511627907,0.14492753623188406,59,10,27,6.334127984002407
4000,3,0.7,35,6,25,0.6145833333333334,0.686046511627907,0.14492753623188406,59,10,27,7.226797358001932
1000,3,0.7,10,6,100,0.6122448979591837,0.6976744186046512,0.16666666666666666,60,12,26,10.674304713997117
1000,3,0.7,20,6,100,0.6122448979591837,0.6976744186046512,0.16666666666666666,60,12,26,9.329972669002018
1000,3,0.7,20,10,100,0.6122448979591837,0.6976744186046512,0.16666666666666666,60,12,26,9.548704009997891
1000,3,0.75,20,6,25,0.6122448979591837,0.6976744186046512,0.16666666666666666,60,12,26,13.330709182999271
2000,3,0.65,10,6,25,0.6122448979591837,0.6976744186046512,0.16666666666666666,60,12,26,8.904288598998392
2000,3,0.65,10,6,100,0.6122448979591837,0.6976744186046512,0.16666666666666666,60,12,26,8.064190223994956
2000,3,0.7,10,10,100,0.6122448979591837,0.6976744186046512,0.16666666666666666,60,12,26,9.004073242998857
